,pupilId,classId,taskId,taskSeriesId,duration,state,evaluation,falseAttempts,teacherFeedback,revision,helpRequested,subType,question,sampleSolution,number words in answer,numberHints,rating_content,rating_format,rating_creativity
2275,rdey75egbdBviYKD6,NCm8NNbAmNsur5S33,LimitsML-1-2,LimitsML,110,"Ich denke der Algorithmus würde nicht erkennen, dass es Seehunde sind er würde also weiter der Meinung sein, dass es Hunde sind.",correct,,,,,freetext,"Was würde passieren, wenn wir alle Bilder von Hunden durch Bilder von Seehunden ersetzen würden, diese aber als Hunde labeln?","Der Algorithmus würde lernen, Seehunde auf unseren Bildern zu erkennen, ihnen aber das Label “Hund” geben.",22.0,,5.0,4.0,3.0
2282,rdey75egbdBviYKD6,NCm8NNbAmNsur5S33,EvalML-1-7,EvalML,188,"Beim maschinellen Lernen bauen die Algorithmen mit Hilfe von Trainingstaten Modelle auf, um nach vermehrtem ""lernen"" eine Struktur zu bilden. Irgendwann kann der Algorithmus die Dinge selbst erkennen.",correct,,,,,freetext,"Beschreib noch einmal in eigenen Worten, was maschinelles Lernen ist.","Das maschinelle Lernen ist ein Teilbereich der KI. Er beschäftigt sich mit Programmen, die selbständig in großen Datenmengen Gesetzmäßigkeiten erkennen können. Solche Programme lernen anhand vieler Beispiele bzw. aus Erfahrung.",28.0,,5.0,5.0,5.0
2285,rdey75egbdBviYKD6,NCm8NNbAmNsur5S33,Impact-2-1-1,Impact-2,202,"Durch Deepfakes könnten viele Probleme entstehen, wie beispielsweise das Beschuldigen einer falschen Person. Oder auch der Missbrauch einer Identität. ",correct,,,,,freetext,Was für Probleme könnten durch den Einsatz von Deepfakes entstehen?,"Mögliche Probleme: Der Ruf und die Privatsphäre bestimmter Personen kann gezielt angegriffen werden. Meinungen können manipuliert werden. Es wird möglich, Videobeweisen leichter zu widersprechen.",19.0,,5.0,5.0,4.0
2294,rdey75egbdBviYKD6,NCm8NNbAmNsur5S33,Impact-3-1-3,Impact-3,148,"Positive Auswirkungen wären beispielsweise eine Hilfe, die richtigen Entscheidungen zu treffen sowie schwierige Dinge besser zu verstehen (durch die KI). Aber auch viel weiteres.",correct,,,,,freetext,"In vielen Bereichen wird der Mensch auch nicht ersetzt, sondern mit KI-Methoden kombiniert eingesetzt werden. Was wären positive Auswirkungen dieser Kooperation?","Mögliche Antworten wären: Effizientere und sicherere Arbeit, Fehlerreduzierung, neue Möglichkeiten, Menschen haben idealerweise mehr Zeit für soziale Berufe und Berufe mit Kreativität, Firmen haben steigende Produktivität bei sinkenden Kosten, wirtschaftliches Wachstum...",24.0,,3.0,3.0,3.0
2301,rdey75egbdBviYKD6,NCm8NNbAmNsur5S33,AIClosing-1-5,AIClosing,256,"Ich denke die Besorgtheit ist durchaus berechtigt, aber durch eine Sehr lange Entwicklung der unterschiedlichen KIs werden diese vemutlich immer besser. Allerdings ist es auch so, dass bestimmte Dinge einfach nicht durch KI ersetzt werden können. (Pflegeberufe etc)",correct,,,,,freetext,"Du siehst also, dass die Erwartungen der Menschen sehr unterschiedlich ausfallen, was KI betrifft. Die Gefühle reichen von Dankbarkeit für Arbeitserleichterung über Skepsis bis Angst. Mit allem, was du jetzt über KI weißt, was würdest du jemandem sagen, der besorgt über eine Zukunft mit KI ist?","Hier können die SuS nochmal alles, was sie über KI wissen, wiederholen. Sie können anführen, dass alle derzeitigen Anwendungen zu spezifischen KI gehören und wir weit entfernt von einer allgemeinen KI sind. Sie können die ganzen positiven Auswirkungen vom Einsatz von KI aufzählen und auch differenzieren und die wirklichen Probleme durch KI thematisieren.",38.0,,5.0,5.0,5.0
2304,rdey75egbdBviYKD6,NCm8NNbAmNsur5S33,AIClosing-1-8,AIClosing,24,Ich fand es gut,correct,,,,,freetext,"Wir wollen diesen Kurs natürlich noch verbessern, damit zukünftige Schülerinnen und Schüler noch mehr Spaß haben. Möchtest du uns zum Abschied noch etwas mitteilen? Was fandest du besonders gut, war irgendeine Stelle doof oder schwer verständlich oder sollen wir irgendwas ändern?","Die SuS können hier noch etwas loswerden. Ist kein Muss, sie haben ja auch schon genug gearbeitet :)",4.0,,3.0,3.0,3.0
2306,8hxAMt4258GP8RcE8,NCm8NNbAmNsur5S33,AI-1-v2-1-2,AI-1-v2,117,roboter<br>,correct,,,,,freetext,"Was ist deiner Meinung nach Künstliche Intelligenz? Es ist gar nicht schlimm, wenn du dir nicht ganz sicher bist. Du bist ja hier, um es zu lernen. Schreib einfach alles auf, was du über sie weißt oder denkst. Bei solchen Aufgaben, kriegt deine Lehrkraft deine abgegebene Antwort immer zugeschickt, um sie bewerten zu können. ","Die Schülerinnen und Schüler (SuS) sollen beschreiben, was sie schon über KI wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",1.0,,1.0,1.0,1.0
2313,8hxAMt4258GP8RcE8,NCm8NNbAmNsur5S33,AI-4-v2-1-3,AI-4-v2,26,"<span style=""background-color: rgba(4, 4, 5, 0.07); color: rgb(220, 221, 222);"">ist ein Teilgebiet der Informatik, das sich mit der Automatisierung intelligenten Verhaltens und dem maschinellen Lernen befasst</span>",correct,,,,,freetext,"Jetzt weißt du schon mehr über KI. Sag nochmal in eigenen Worten, was KI ist. Denk dabei an die Eigenschaften, durch die sich KI-Anwendungen auszeichnen und die verschiedenen Arten von KIs.","KI-Anwendungen zeichnen sich aus durch intelligentes Verhalten, das Treffen eigenständiger Entscheidungen und dem Lernen mittels Erfahrung. Man unterscheidet spezifische und allgemeine KI, wobei die spezifische KI intelligentes Verhalten in nur einem kleinen Bereich der Intelligenz zeigt. Alle bisherigen KI-Anwendungen gehören zur spezifischen KI. Allgemeine Intelligenz haben diese nicht.",26.0,,4.0,4.0,4.0
2316,8hxAMt4258GP8RcE8,NCm8NNbAmNsur5S33,ML-1-1-1,ML-1,120,"es ist ein hund, wenn es einen wedelnden schwanz hat ",correct,,,,,freetext,"Kannst du einen Algorithmus schreiben, der Hunde auf Bildern erkennt? Überlege dir vorher was einen Hund ausmacht. Nutze Regeln wie “Es ist ein Hund, wenn es vier Pfoten hat.” oder “Es ist ein Hund, wenn es ein Tier mit Leine ist.”","Die SuS sollen sinnvolle Wenn-Dann-Regeln finden, die beschreiben, wie Hunde auf Bildern erkannt werden können.",10.0,,5.0,5.0,4.0
2321,8hxAMt4258GP8RcE8,NCm8NNbAmNsur5S33,ML-2-1-2,ML-2,47,"<span style=""background-color: rgb(54, 57, 63); color: rgb(220, 221, 222);"">Maschinelles Lernen ist ein Oberbegriff für die „künstliche“ Generierung von Wissen aus Erfahrung: Ein künstliches System lernt aus Beispielen und kann diese nach Beendigung der Lernphase verallgemeinern.</span>",correct,,gut kopiert ,,,freetext,"Weißt du vielleicht schon etwas über das maschinelle Lernen? Es ist gar nicht schlimm, wenn das noch nicht der Fall ist. Dann schreib einfach, dass du noch nichts weißt.","Das ist nur eine Abfrage, um über das Vorwissen der SuS bescheid zu wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",35.0,,1.0,0.0,0.0
2331,8hxAMt4258GP8RcE8,NCm8NNbAmNsur5S33,Clustering-2-1-1,Clustering-2,260,gaming weil es die richtige zielgruppe ist ,correct,,,,,freetext,"Schau dir die Mittelpunkte der Cluster genau an. Welches Cluster repräsentiert am ehesten eine Make-Up-Marke? Und die Zuschauer welches Clusters würden am ehesten Autos kaufen? Beschreibe in 4-5 Sätzen, welche Cluster du jeweils gewählt hast und warum diese Youtuber die perfekten Markenbotschafter dafür wären.","Make-Up: Cluster 1 repräsentiert es am besten. Ist bereits Thema und die Zuschauer sind die richtig Zielgruppe. Autos: Cluster 3-6 wären alle alt genug. Alle wären möglich, käme auf das Auto an. Cluster 4 zB eher Familienautos, 5 und 6 eher günstige Kleinwagen und Cluster 3 auch teurere Autos.",7.0,,2.0,2.0,2.0
2341,8hxAMt4258GP8RcE8,NCm8NNbAmNsur5S33,LimitsML-1-2,LimitsML,42,sie würden sie trozdem als hunde erkennen<br>,correct,,,,,freetext,"Was würde passieren, wenn wir alle Bilder von Hunden durch Bilder von Seehunden ersetzen würden, diese aber als Hunde labeln?","Der Algorithmus würde lernen, Seehunde auf unseren Bildern zu erkennen, ihnen aber das Label “Hund” geben.",7.0,,3.0,3.0,3.0
2348,8hxAMt4258GP8RcE8,NCm8NNbAmNsur5S33,EvalML-1-7,EvalML,22,maschinen kontrollieren und verbessern sich selbst ,correct,,,,,freetext,"Beschreib noch einmal in eigenen Worten, was maschinelles Lernen ist.","Das maschinelle Lernen ist ein Teilbereich der KI. Er beschäftigt sich mit Programmen, die selbständig in großen Datenmengen Gesetzmäßigkeiten erkennen können. Solche Programme lernen anhand vieler Beispiele bzw. aus Erfahrung.",6.0,,3.0,3.0,3.0
2351,8hxAMt4258GP8RcE8,NCm8NNbAmNsur5S33,Impact-2-1-1,Impact-2,61,Das etwas verfälscht werden könnte<br>,correct,,,,,freetext,Was für Probleme könnten durch den Einsatz von Deepfakes entstehen?,"Mögliche Probleme: Der Ruf und die Privatsphäre bestimmter Personen kann gezielt angegriffen werden. Meinungen können manipuliert werden. Es wird möglich, Videobeweisen leichter zu widersprechen.",5.0,,3.0,3.0,3.0
2360,8hxAMt4258GP8RcE8,NCm8NNbAmNsur5S33,Impact-3-1-3,Impact-3,39,In neuen technologien,correct,,,,,freetext,"In vielen Bereichen wird der Mensch auch nicht ersetzt, sondern mit KI-Methoden kombiniert eingesetzt werden. Was wären positive Auswirkungen dieser Kooperation?","Mögliche Antworten wären: Effizientere und sicherere Arbeit, Fehlerreduzierung, neue Möglichkeiten, Menschen haben idealerweise mehr Zeit für soziale Berufe und Berufe mit Kreativität, Firmen haben steigende Produktivität bei sinkenden Kosten, wirtschaftliches Wachstum...",3.0,,1.0,2.0,2.0
2367,8hxAMt4258GP8RcE8,NCm8NNbAmNsur5S33,AIClosing-1-5,AIClosing,26,Ich finde es nicht bedrohend oder schädlich<br>,correct,,,,,freetext,"Du siehst also, dass die Erwartungen der Menschen sehr unterschiedlich ausfallen, was KI betrifft. Die Gefühle reichen von Dankbarkeit für Arbeitserleichterung über Skepsis bis Angst. Mit allem, was du jetzt über KI weißt, was würdest du jemandem sagen, der besorgt über eine Zukunft mit KI ist?","Hier können die SuS nochmal alles, was sie über KI wissen, wiederholen. Sie können anführen, dass alle derzeitigen Anwendungen zu spezifischen KI gehören und wir weit entfernt von einer allgemeinen KI sind. Sie können die ganzen positiven Auswirkungen vom Einsatz von KI aufzählen und auch differenzieren und die wirklichen Probleme durch KI thematisieren.",7.0,,3.0,3.0,3.0
2370,8hxAMt4258GP8RcE8,NCm8NNbAmNsur5S33,AIClosing-1-8,AIClosing,65,Ich finde es eine sehr hilfreiche und interessante weise zu lernen ,correct,,,,,freetext,"Wir wollen diesen Kurs natürlich noch verbessern, damit zukünftige Schülerinnen und Schüler noch mehr Spaß haben. Möchtest du uns zum Abschied noch etwas mitteilen? Was fandest du besonders gut, war irgendeine Stelle doof oder schwer verständlich oder sollen wir irgendwas ändern?","Die SuS können hier noch etwas loswerden. Ist kein Muss, sie haben ja auch schon genug gearbeitet :)",11.0,,5.0,0.0,0.0
2372,HxKGojut2Tgf5rb4c,NCm8NNbAmNsur5S33,AI-1-v2-1-2,AI-1-v2,126,<ul><li>meiner Meinung nach kann man darunter alles verstehen was kunst und intelligenz betrifft</li><li>warscheinlich meint man mit künstlich kreatives</li></ul>,correct,,,,,freetext,"Was ist deiner Meinung nach Künstliche Intelligenz? Es ist gar nicht schlimm, wenn du dir nicht ganz sicher bist. Du bist ja hier, um es zu lernen. Schreib einfach alles auf, was du über sie weißt oder denkst. Bei solchen Aufgaben, kriegt deine Lehrkraft deine abgegebene Antwort immer zugeschickt, um sie bewerten zu können. ","Die Schülerinnen und Schüler (SuS) sollen beschreiben, was sie schon über KI wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",18.0,,4.0,4.0,3.0
2379,HxKGojut2Tgf5rb4c,NCm8NNbAmNsur5S33,AI-4-v2-1-3,AI-4-v2,135,KI gibt es in vielen Formen der Technologie. Zum Beispiel sorgt die KI dafür das mein Instagram Feed sich neu ladet mit Bildern die mich interessieren und es schlägt mir Dinge vor basierend auf Dingen die ich mag oder gekauft habe.,correct,,"Cool, dass du da soweit denkst =)",,,freetext,"Jetzt weißt du schon mehr über KI. Sag nochmal in eigenen Worten, was KI ist. Denk dabei an die Eigenschaften, durch die sich KI-Anwendungen auszeichnen und die verschiedenen Arten von KIs.","KI-Anwendungen zeichnen sich aus durch intelligentes Verhalten, das Treffen eigenständiger Entscheidungen und dem Lernen mittels Erfahrung. Man unterscheidet spezifische und allgemeine KI, wobei die spezifische KI intelligentes Verhalten in nur einem kleinen Bereich der Intelligenz zeigt. Alle bisherigen KI-Anwendungen gehören zur spezifischen KI. Allgemeine Intelligenz haben diese nicht.",41.0,,5.0,5.0,5.0
2382,HxKGojut2Tgf5rb4c,NCm8NNbAmNsur5S33,ML-1-1-1,ML-1,160,"Es ist ein Hund, wenn er hechelt. ",correct,,,,,freetext,"Kannst du einen Algorithmus schreiben, der Hunde auf Bildern erkennt? Überlege dir vorher was einen Hund ausmacht. Nutze Regeln wie “Es ist ein Hund, wenn es vier Pfoten hat.” oder “Es ist ein Hund, wenn es ein Tier mit Leine ist.”","Die SuS sollen sinnvolle Wenn-Dann-Regeln finden, die beschreiben, wie Hunde auf Bildern erkannt werden können.",7.0,,5.0,3.0,4.0
2387,HxKGojut2Tgf5rb4c,NCm8NNbAmNsur5S33,ML-2-1-2,ML-2,72,Ich denke Maschinelles lernen bedeutet Maschinen lernen dazu und bilden sich selber fort.,correct,,,,,freetext,"Weißt du vielleicht schon etwas über das maschinelle Lernen? Es ist gar nicht schlimm, wenn das noch nicht der Fall ist. Dann schreib einfach, dass du noch nichts weißt.","Das ist nur eine Abfrage, um über das Vorwissen der SuS bescheid zu wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",13.0,,2.0,2.0,2.0
2397,HxKGojut2Tgf5rb4c,NCm8NNbAmNsur5S33,Clustering-2-1-1,Clustering-2,131,"cluster 1, cluster 2, weil es in ihren videos um die Dinge geht für ide sich die Zuschauer intressieren",pending,,,,,freetext,"Schau dir die Mittelpunkte der Cluster genau an. Welches Cluster repräsentiert am ehesten eine Make-Up-Marke? Und die Zuschauer welches Clusters würden am ehesten Autos kaufen? Beschreibe in 4-5 Sätzen, welche Cluster du jeweils gewählt hast und warum diese Youtuber die perfekten Markenbotschafter dafür wären.","Make-Up: Cluster 1 repräsentiert es am besten. Ist bereits Thema und die Zuschauer sind die richtig Zielgruppe. Autos: Cluster 3-6 wären alle alt genug. Alle wären möglich, käme auf das Auto an. Cluster 4 zB eher Familienautos, 5 und 6 eher günstige Kleinwagen und Cluster 3 auch teurere Autos.",19.0,,,,
2407,HxKGojut2Tgf5rb4c,NCm8NNbAmNsur5S33,LimitsML-1-2,LimitsML,77,der algorhitmus würde nur noch seehunde als hunde labeln und keine normalen hunde mehr,pending,,,,,freetext,"Was würde passieren, wenn wir alle Bilder von Hunden durch Bilder von Seehunden ersetzen würden, diese aber als Hunde labeln?","Der Algorithmus würde lernen, Seehunde auf unseren Bildern zu erkennen, ihnen aber das Label “Hund” geben.",14.0,,,,
2408,HxKGojut2Tgf5rb4c,NCm8NNbAmNsur5S33,Impact-2-1-1,Impact-2,117,Gefälschte Video oder Anschuldigungen. Es kann zu einer Auseinandersetzung kommen weil es so echt aussieht obwohl es nicht echt ist.,correct,,,,,freetext,Was für Probleme könnten durch den Einsatz von Deepfakes entstehen?,"Mögliche Probleme: Der Ruf und die Privatsphäre bestimmter Personen kann gezielt angegriffen werden. Meinungen können manipuliert werden. Es wird möglich, Videobeweisen leichter zu widersprechen.",20.0,,5.0,5.0,5.0
2417,HxKGojut2Tgf5rb4c,NCm8NNbAmNsur5S33,Impact-3-1-3,Impact-3,107,Vielleicht wäre es eine nicht allzu schlechte zusammenarbeit.,correct,,,,,freetext,"In vielen Bereichen wird der Mensch auch nicht ersetzt, sondern mit KI-Methoden kombiniert eingesetzt werden. Was wären positive Auswirkungen dieser Kooperation?","Mögliche Antworten wären: Effizientere und sicherere Arbeit, Fehlerreduzierung, neue Möglichkeiten, Menschen haben idealerweise mehr Zeit für soziale Berufe und Berufe mit Kreativität, Firmen haben steigende Produktivität bei sinkenden Kosten, wirtschaftliches Wachstum...",8.0,,3.0,3.0,3.0
2424,HxKGojut2Tgf5rb4c,NCm8NNbAmNsur5S33,AIClosing-1-5,AIClosing,205,Es wird aufjedenfall seine Vorteile mit sich bringen und helfen wird es auch viel. Aber es hat eher mehr Nachteile und wenn sowas in der Zukunft passieren sollte muss man noch besser auf seine persönlichen Daten aufpassen. Und was man preisgibt im Internet.,correct,,,,,freetext,"Du siehst also, dass die Erwartungen der Menschen sehr unterschiedlich ausfallen, was KI betrifft. Die Gefühle reichen von Dankbarkeit für Arbeitserleichterung über Skepsis bis Angst. Mit allem, was du jetzt über KI weißt, was würdest du jemandem sagen, der besorgt über eine Zukunft mit KI ist?","Hier können die SuS nochmal alles, was sie über KI wissen, wiederholen. Sie können anführen, dass alle derzeitigen Anwendungen zu spezifischen KI gehören und wir weit entfernt von einer allgemeinen KI sind. Sie können die ganzen positiven Auswirkungen vom Einsatz von KI aufzählen und auch differenzieren und die wirklichen Probleme durch KI thematisieren.",43.0,,5.0,4.0,4.0
2427,HxKGojut2Tgf5rb4c,NCm8NNbAmNsur5S33,AIClosing-1-8,AIClosing,61,Ich fand alles gut und verständlich. Die Texte waren sehr hilfreich.,correct,,,,,freetext,"Wir wollen diesen Kurs natürlich noch verbessern, damit zukünftige Schülerinnen und Schüler noch mehr Spaß haben. Möchtest du uns zum Abschied noch etwas mitteilen? Was fandest du besonders gut, war irgendeine Stelle doof oder schwer verständlich oder sollen wir irgendwas ändern?","Die SuS können hier noch etwas loswerden. Ist kein Muss, sie haben ja auch schon genug gearbeitet :)",11.0,,4.0,3.0,4.0
2429,8BxHyj57tDQP6thKX,NCm8NNbAmNsur5S33,AI-1-v2-1-2,AI-1-v2,47,Eine schlaue Maschiene ,correct,,,,,freetext,"Was ist deiner Meinung nach Künstliche Intelligenz? Es ist gar nicht schlimm, wenn du dir nicht ganz sicher bist. Du bist ja hier, um es zu lernen. Schreib einfach alles auf, was du über sie weißt oder denkst. Bei solchen Aufgaben, kriegt deine Lehrkraft deine abgegebene Antwort immer zugeschickt, um sie bewerten zu können. ","Die Schülerinnen und Schüler (SuS) sollen beschreiben, was sie schon über KI wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",3.0,,3.0,3.0,2.0
2436,8BxHyj57tDQP6thKX,NCm8NNbAmNsur5S33,AI-4-v2-1-3,AI-4-v2,57,es ist ein künstliches Gehirn ,correct,,,,,freetext,"Jetzt weißt du schon mehr über KI. Sag nochmal in eigenen Worten, was KI ist. Denk dabei an die Eigenschaften, durch die sich KI-Anwendungen auszeichnen und die verschiedenen Arten von KIs.","KI-Anwendungen zeichnen sich aus durch intelligentes Verhalten, das Treffen eigenständiger Entscheidungen und dem Lernen mittels Erfahrung. Man unterscheidet spezifische und allgemeine KI, wobei die spezifische KI intelligentes Verhalten in nur einem kleinen Bereich der Intelligenz zeigt. Alle bisherigen KI-Anwendungen gehören zur spezifischen KI. Allgemeine Intelligenz haben diese nicht.",5.0,,2.0,2.0,2.0
2439,8BxHyj57tDQP6thKX,NCm8NNbAmNsur5S33,ML-1-1-1,ML-1,87,4 beine 1ne schnautze 2 schwänze ,correct,,Woran du wieder denkst.... :-P,,,freetext,"Kannst du einen Algorithmus schreiben, der Hunde auf Bildern erkennt? Überlege dir vorher was einen Hund ausmacht. Nutze Regeln wie “Es ist ein Hund, wenn es vier Pfoten hat.” oder “Es ist ein Hund, wenn es ein Tier mit Leine ist.”","Die SuS sollen sinnvolle Wenn-Dann-Regeln finden, die beschreiben, wie Hunde auf Bildern erkannt werden können.",6.0,,4.0,3.0,4.0
2444,8BxHyj57tDQP6thKX,NCm8NNbAmNsur5S33,ML-2-1-2,ML-2,31,das weiß ich nicht <br>,correct,,,,,freetext,"Weißt du vielleicht schon etwas über das maschinelle Lernen? Es ist gar nicht schlimm, wenn das noch nicht der Fall ist. Dann schreib einfach, dass du noch nichts weißt.","Das ist nur eine Abfrage, um über das Vorwissen der SuS bescheid zu wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",5.0,,3.0,3.0,3.0
2454,8BxHyj57tDQP6thKX,NCm8NNbAmNsur5S33,Clustering-2-1-1,Clustering-2,68,keine ahnung ,correct,,,,,freetext,"Schau dir die Mittelpunkte der Cluster genau an. Welches Cluster repräsentiert am ehesten eine Make-Up-Marke? Und die Zuschauer welches Clusters würden am ehesten Autos kaufen? Beschreibe in 4-5 Sätzen, welche Cluster du jeweils gewählt hast und warum diese Youtuber die perfekten Markenbotschafter dafür wären.","Make-Up: Cluster 1 repräsentiert es am besten. Ist bereits Thema und die Zuschauer sind die richtig Zielgruppe. Autos: Cluster 3-6 wären alle alt genug. Alle wären möglich, käme auf das Auto an. Cluster 4 zB eher Familienautos, 5 und 6 eher günstige Kleinwagen und Cluster 3 auch teurere Autos.",2.0,,3.0,3.0,3.0
2464,8BxHyj57tDQP6thKX,NCm8NNbAmNsur5S33,LimitsML-1-2,LimitsML,36,es würde nichts erkennen,correct,,ja oder den Seehund als Hund erkennen.,,,freetext,"Was würde passieren, wenn wir alle Bilder von Hunden durch Bilder von Seehunden ersetzen würden, diese aber als Hunde labeln?","Der Algorithmus würde lernen, Seehunde auf unseren Bildern zu erkennen, ihnen aber das Label “Hund” geben.",4.0,,4.0,3.0,3.0
2471,8BxHyj57tDQP6thKX,NCm8NNbAmNsur5S33,EvalML-1-7,EvalML,34,maschienen erkennen was sie richtig und falsch gemacht haben und sich verbessern ,correct,,,,,freetext,"Beschreib noch einmal in eigenen Worten, was maschinelles Lernen ist.","Das maschinelle Lernen ist ein Teilbereich der KI. Er beschäftigt sich mit Programmen, die selbständig in großen Datenmengen Gesetzmäßigkeiten erkennen können. Solche Programme lernen anhand vieler Beispiele bzw. aus Erfahrung.",12.0,,5.0,4.0,3.0
2474,8BxHyj57tDQP6thKX,NCm8NNbAmNsur5S33,Impact-2-1-1,Impact-2,56,man kann Viedeos von dingen erstellen die nie pasiert sind erstellen ,correct,,,,,freetext,Was für Probleme könnten durch den Einsatz von Deepfakes entstehen?,"Mögliche Probleme: Der Ruf und die Privatsphäre bestimmter Personen kann gezielt angegriffen werden. Meinungen können manipuliert werden. Es wird möglich, Videobeweisen leichter zu widersprechen.",11.0,,5.0,4.0,3.0
2483,8BxHyj57tDQP6thKX,NCm8NNbAmNsur5S33,Impact-3-1-3,Impact-3,45,die Menschen werden entlastet <br>,correct,,,,,freetext,"In vielen Bereichen wird der Mensch auch nicht ersetzt, sondern mit KI-Methoden kombiniert eingesetzt werden. Was wären positive Auswirkungen dieser Kooperation?","Mögliche Antworten wären: Effizientere und sicherere Arbeit, Fehlerreduzierung, neue Möglichkeiten, Menschen haben idealerweise mehr Zeit für soziale Berufe und Berufe mit Kreativität, Firmen haben steigende Produktivität bei sinkenden Kosten, wirtschaftliches Wachstum...",5.0,,3.0,2.0,2.0
2490,8BxHyj57tDQP6thKX,NCm8NNbAmNsur5S33,AIClosing-1-5,AIClosing,47,die jobs werden leichter und die schwierigen arbeiten werden übernommen ,correct,,,,,freetext,"Du siehst also, dass die Erwartungen der Menschen sehr unterschiedlich ausfallen, was KI betrifft. Die Gefühle reichen von Dankbarkeit für Arbeitserleichterung über Skepsis bis Angst. Mit allem, was du jetzt über KI weißt, was würdest du jemandem sagen, der besorgt über eine Zukunft mit KI ist?","Hier können die SuS nochmal alles, was sie über KI wissen, wiederholen. Sie können anführen, dass alle derzeitigen Anwendungen zu spezifischen KI gehören und wir weit entfernt von einer allgemeinen KI sind. Sie können die ganzen positiven Auswirkungen vom Einsatz von KI aufzählen und auch differenzieren und die wirklichen Probleme durch KI thematisieren.",10.0,,5.0,4.0,4.0
2493,8BxHyj57tDQP6thKX,NCm8NNbAmNsur5S33,AIClosing-1-8,AIClosing,37,war sehr interesant ,correct,,,,,freetext,"Wir wollen diesen Kurs natürlich noch verbessern, damit zukünftige Schülerinnen und Schüler noch mehr Spaß haben. Möchtest du uns zum Abschied noch etwas mitteilen? Was fandest du besonders gut, war irgendeine Stelle doof oder schwer verständlich oder sollen wir irgendwas ändern?","Die SuS können hier noch etwas loswerden. Ist kein Muss, sie haben ja auch schon genug gearbeitet :)",3.0,,5.0,0.0,0.0
2495,XjSEcRBzt99CQK253,NCm8NNbAmNsur5S33,AI-1-v2-1-2,AI-1-v2,433,Künstliche Intelligenz ist ein Teil der der Informatik/ Elektronik. Diese befasst sich mit dem maschinellen lernen.,correct,,,,,freetext,"Was ist deiner Meinung nach Künstliche Intelligenz? Es ist gar nicht schlimm, wenn du dir nicht ganz sicher bist. Du bist ja hier, um es zu lernen. Schreib einfach alles auf, was du über sie weißt oder denkst. Bei solchen Aufgaben, kriegt deine Lehrkraft deine abgegebene Antwort immer zugeschickt, um sie bewerten zu können. ","Die Schülerinnen und Schüler (SuS) sollen beschreiben, was sie schon über KI wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",16.0,,5.0,3.0,3.0
2501,NHPSudYwp9A4DT5t2,NCm8NNbAmNsur5S33,AI-1-v2-1-2,AI-1-v2,51,Wenn man gut Zeichnen oder malen kann fast schon so gut wie ein Künstler,correct,,,,,freetext,"Was ist deiner Meinung nach Künstliche Intelligenz? Es ist gar nicht schlimm, wenn du dir nicht ganz sicher bist. Du bist ja hier, um es zu lernen. Schreib einfach alles auf, was du über sie weißt oder denkst. Bei solchen Aufgaben, kriegt deine Lehrkraft deine abgegebene Antwort immer zugeschickt, um sie bewerten zu können. ","Die Schülerinnen und Schüler (SuS) sollen beschreiben, was sie schon über KI wissen. Es ist nicht schlimm, wenn sie noch nichts wissen.",14.0,,2.0,3.0,4.0
2508,NHPSudYwp9A4DT5t2,NCm8NNbAmNsur5S33,AI-4-v2-1-3,AI-4-v2,321,<h1>KL. steht für Kapitänleutnant Kazaa lite und das ist ein Programm glaub ich.</h1><br><br>PS: Ich hab gegoogelt weil ich keine Ahnung hatte:),correct,,^^ alles legitim,,,freetext,"Jetzt weißt du schon mehr über KI. Sag nochmal in eigenen Worten, was KI ist. Denk dabei an die Eigenschaften, durch die sich KI-Anwendungen auszeichnen und die verschiedenen Arten von KIs.","KI-Anwendungen zeichnen sich aus durch intelligentes Verhalten, das Treffen eigenständiger Entscheidungen und dem Lernen mittels Erfahrung. Man unterscheidet spezifische und allgemeine KI, wobei die spezifische KI intelligentes Verhalten in nur einem kleinen Bereich der Intelligenz zeigt. Alle bisherigen KI-Anwendungen gehören zur spezifischen KI. Allgemeine Intelligenz haben diese nicht.",21.0,,3.0,3.0,3.0
2511,NHPSudYwp9A4DT5t2,NCm8NNbAmNsur5S33,ML-1-1-1,ML-1,113,Ich verstehe die Frage nicht ganz🤔...was ist damit gemeint oder besser gesagt was ist die richtige Antwort?,pending,,,,,freetext,"Kannst du einen Algorithmus schreiben, der Hunde auf Bildern erkennt? Überlege dir vorher was einen Hund ausmacht. Nutze Regeln wie “Es ist ein Hund, wenn es vier Pfoten hat.” oder “Es ist ein Hund, wenn es ein Tier mit Leine ist.”","Die SuS sollen sinnvolle Wenn-Dann-Regeln finden, die beschreiben, wie Hunde auf Bildern erkannt werden können.",17.0,,,,
